storeid,itemid,price,time
617,10,82.97,2020-11-23
373,7,45.46,2020-04-04
841,34,58.4,2020-04-07
638,13,72.77,2020-07-11
358,21,22.25,2020-01-28
12,21,58.17,2020-11-23
221,34,83.82,2020-05-03
338,9,25.36,2020-06-09
289,41,15.68,2020-09-13
969,18,3.7,2020-02-11
57,6,15.55,2020-08-20
465,28,44.84,2020-12-10
889,35,59.12,2020-03-20
80,41,59.82,2020-11-08
566,41,58.3,2020-05-17
422,23,53.69,2020-02-19
443,46,52.25,2020-05-20
715,38,29.63,2020-03-18
940,26,91.84,2020-04-12
142,32,12.56,2020-04-09
834,3,27.55,2020-01-06
969,19,53.27,2020-12-01
724,46,48.93,2020-07-12
146,13,17.44,2020-10-09
210,3,52.97,2020-09-01
316,22,49.84,2020-10-16
482,14,94.0,2020-10-26
485,12,50.24,2020-08-21
927,12,43.46,2020-10-24
189,23,13.58,2020-05-08
212,49,21.27,2020-07-12
166,5,79.92,2020-01-28
810,1,39.28,2020-04-18
306,12,89.04,2020-06-09
764,10,68.99,2020-12-17
746,1,46.61,2020-09-18
89,31,67.29,2020-05-24
940,15,59.43,2020-05-25
186,49,67.9,2020-04-17
448,38,80.92,2020-05-29
288,35,75.28,2020-08-18
855,13,32.29,2020-07-16
336,42,92.96,2020-06-18
363,43,64.5,2020-05-04
570,50,4.98,2020-08-03
139,42,94.11,2020-03-13
367,29,79.15,2020-04-24
432,8,65.38,2020-08-17
820,7,18.81,2020-09-01
46,27,61.4,2020-11-08
242,47,95.53,2020-04-07
585,25,83.74,2020-05-29
334,26,64.69,2020-12-02
648,23,8.45,2020-03-24
218,10,18.51,2020-10-16
358,48,73.62,2020-06-08
14,37,45.66,2020-04-04
929,31,66.59,2020-07-18
175,11,66.08,2020-12-16
481,30,11.88,2020-07-01
419,50,27.52,2020-03-23
543,39,31.81,2020-01-22
135,19,58.46,2020-05-24
525,11,50.63,2020-07-05
933,3,71.06,2020-08-30
284,39,16.56,2020-09-05
359,47,4.85,2020-08-08
893,10,83.89,2020-03-31
333,44,12.87,2020-07-13
714,50,28.49,2020-07-16
80,30,14.45,2020-01-23
212,40,68.43,2020-02-18
509,45,72.09,2020-08-11
830,36,35.66,2020-10-04
462,32,7.47,2020-03-10
699,40,65.37,2020-10-24
919,39,98.82,2020-06-27
826,5,38.46,2020-11-22
404,33,24.43,2020-04-19
956,5,85.27,2020-01-12
893,32,41.54,2020-09-11
749,30,64.53,2020-03-30
671,49,0.04,2020-12-15
686,20,49.22,2020-09-01
254,27,62.71,2020-12-08
603,39,99.14,2020-01-09
525,29,45.23,2020-05-09
129,17,25.44,2020-05-16
127,50,16.13,2020-05-05
187,21,51.24,2020-12-29
18,4,92.11,2020-03-14
792,21,26.02,2020-08-09
156,16,25.68,2020-05-22
790,28,49.17,2020-06-19
594,49,42.94,2020-09-14
985,30,3.61,2020-04-05
734,43,17.34,2020-02-28
713,35,41.62,2020-05-03
503,19,44.61,2020-01-14
61,31,60.52,2020-07-18
117,47,10.49,2020-06-29
303,6,58.68,2020-11-15
849,22,77.77,2020-07-05
713,10,54.79,2020-09-04
907,15,16.27,2020-03-06
418,36,7.31,2020-05-13
692,18,10.67,2020-03-02
50,37,25.9,2020-04-24
247,36,55.45,2020-11-10
694,4,73.34,2020-04-25
173,38,82.74,2020-04-29
948,8,74.91,2020-10-22
594,35,87.93,2020-04-18
896,7,33.32,2020-12-10
