storeid,name,state,latitude,longitude
1,Roxburghiaceae,TN,36.489038,-87.150089
2,Elizabethanism,RI,42.23523,-70.950071
3,trisemic,N/A,38.972055,-75.76791
4,Arverni,N/A,32.238621,-86.634725
5,nocturia,TN,36.489038,-87.150089
6,monolobular,NM,33.911217,-105.86312
7,retiringness,IN,40.198988,-85.969526
8,benshee,UT,39.315531,-112.359678
9,fraudulency,ND,47.470136,-99.485854
10,Dictyopteris,CO,38.728398,-105.734071
11,largish,N/A,38.621066,-83.629553
12,crosswalk,IA,41.85447,-94.461398
13,tactics,MO,38.301227,-93.123587
14,Laotian,HI,19.349615,-155.81074
15,dissimilar,FL,28.4608,-81.728756
16,trisilane,MN,46.589421,-93.708117
17,reinflame,AR,35.752108,-92.908908
18,discussant,IA,41.85447,-94.461398
19,Trichoderma,MT,47.313333,-109.762502
20,Hellenicism,AR,35.752108,-92.908908
21,unteem,NM,33.911217,-105.86312
22,planilla,N/A,42.27911,-75.091934
23,dittographic,N/A,39.315531,-112.359678
24,anteriad,MD,39.961934,-77.585399
25,antistrophon,N/A,42.687335,-70.592981
26,uncorruptibility,KS,38.785134,-98.102382
27,vasectomize,CA,37.338709,-118.425692
28,aerotonometry,AK,65.556618,-153.846065
29,athetoid,IL,40.039841,-89.169822
30,mismanage,N/A,41.816814,-77.758577
31,overreliance,IA,41.85447,-94.461398
32,counterrate,N/A,45.662978,-68.055975
33,jettied,PA,41.816814,-77.758577
34,hyporchema,MD,39.961934,-77.585399
35,exterminable,WI,43.74468,-90.21
36,Copaifera,NM,33.911217,-105.86312
37,electragist,NC,35.806799,-80.785162
38,unvulgarized,CA,37.338709,-118.425692
39,undercutting,DE,38.632763,-74.796808
40,ignatia,N/A,38.972055,-75.76791
41,unexacted,N/A,46.589421,-93.708117
42,houndish,N/A,43.469355,-106.719711
43,presignificance,N/A,38.785134,-98.102382
44,undespatched,NM,33.911217,-105.86312
45,unphrenological,OH,40.274536,-83.800318
46,parthenogenitive,SC,34.825736,-80.940043
47,grate,WA,48.190208,-120.139024
48,unannex,MT,47.313333,-109.762502
49,absorption,N/A,40.198988,-85.969526
50,morat,IN,40.198988,-85.969526
51,muddlement,MT,47.313333,-109.762502
52,paleoecology,N/A,32.69705,-82.8099
53,autotomy,WI,43.74468,-90.21
54,doftberry,WY,43.469355,-106.719711
55,schout,RI,42.23523,-70.950071
56,Cordaitaceae,WI,43.74468,-90.21
57,jokeless,MD,39.961934,-77.585399
58,supplantment,WY,43.469355,-106.719711
59,hematomyelitis,N/A,46.589421,-93.708117
60,geoidal,HI,19.349615,-155.81074
61,deputative,NV,39.676664,-116.57882
62,uninterlaced,VT,43.425296,-73.085636
63,Cairene,N/A,43.986953,-100.933939
64,purger,N/A,38.785134,-98.102382
65,mahogany,N/A,38.749076,-77.684586
66,pyvuril,N/A,48.190208,-120.139024
67,propleural,N/A,39.315531,-112.359678
68,Toxifera,NV,39.676664,-116.57882
69,telic,CA,37.338709,-118.425692
70,logicity,FL,28.4608,-81.728756
71,usufructuary,WY,43.469355,-106.719711
72,mydatoxine,NE,40.635552,-100.304088
73,cytozoic,NM,33.911217,-105.86312
74,malaguena,LA,29.671169,-92.643289
75,matamoro,OK,35.417152,-96.413291
76,dog,AK,65.556618,-153.846065
77,rebellion,MN,46.589421,-93.708117
78,auxiliary,N/A,41.85447,-94.461398
79,unsuspectedness,OH,40.274536,-83.800318
80,admittance,AR,35.752108,-92.908908
81,solmization,NY,42.27911,-75.091934
82,wagework,WI,43.74468,-90.21
83,introducible,HI,19.349615,-155.81074
84,willer,OK,35.417152,-96.413291
85,sedile,N/A,42.687335,-70.592981
86,wrappage,MO,38.301227,-93.123587
87,viatica,TX,31.850459,-100.575033
88,Libitina,NY,42.27911,-75.091934
89,cumuliform,AK,65.556618,-153.846065
90,disputative,AZ,33.311094,-111.410962
91,aortoclasia,TN,36.489038,-87.150089
92,murmurously,CT,41.385011,-71.761118
93,unhesitatingness,N/A,36.489038,-87.150089
94,unprofitably,CA,37.338709,-118.425692
95,monochromator,NM,33.911217,-105.86312
96,pretentious,NV,39.676664,-116.57882
97,supranuclear,WV,39.135357,-79.971123
98,subcentrally,N/A,38.785134,-98.102382
99,Hesiodic,MT,47.313333,-109.762502
100,leapable,NC,35.806799,-80.785162
101,splenomedullary,FL,28.4608,-81.728756
102,paedometer,NH,44.510675,-70.607969
103,unexorable,N/A,42.27911,-75.091934
104,essayist,OR,43.923863,-121.494144
105,archival,N/A,45.662978,-68.055975
106,prewarrant,WI,43.74468,-90.21
107,jollytail,N/A,35.752108,-92.908908
108,youngster,NM,33.911217,-105.86312
109,stain,HI,19.349615,-155.81074
110,factabling,AZ,33.311094,-111.410962
111,Pycnonotidae,NM,33.911217,-105.86312
112,Waneatta,OR,43.923863,-121.494144
113,assure,PA,41.816814,-77.758577
114,hoodless,OR,43.923863,-121.494144
115,unplowed,N/A,28.4608,-81.728756
116,loveworth,GA,32.69705,-82.8099
117,termitid,IL,40.039841,-89.169822
118,fallibleness,NC,35.806799,-80.785162
119,Protospondyli,ND,47.470136,-99.485854
120,teletyping,NY,42.27911,-75.091934
121,shingles,AK,65.556618,-153.846065
122,casuist,WI,43.74468,-90.21
123,dislocable,AR,35.752108,-92.908908
124,miscreancy,NV,39.676664,-116.57882
125,daisy,VA,38.749076,-77.684586
126,pneumatophilosophy,N/A,38.632763,-74.796808
127,phagocytable,KY,38.621066,-83.629553
128,advection,OH,40.274536,-83.800318
129,Calvinize,LA,29.671169,-92.643289
130,dipsaceous,OK,35.417152,-96.413291
131,santapee,OH,40.274536,-83.800318
132,Centropomidae,N/A,42.23523,-70.950071
133,altared,OK,35.417152,-96.413291
134,incultivation,MT,47.313333,-109.762502
135,unlivable,LA,29.671169,-92.643289
136,inuredness,NV,39.676664,-116.57882
137,sniggler,MI,43.778586,-84.178101
138,Distomatidae,N/A,38.785134,-98.102382
139,sumper,KS,38.785134,-98.102382
140,unbequeathed,NV,39.676664,-116.57882
141,friller,CT,41.385011,-71.761118
142,serenissimi,NJ,38.972055,-75.76791
143,exertive,MN,46.589421,-93.708117
144,abranchial,N/A,40.274536,-83.800318
145,rheadine,PA,41.816814,-77.758577
146,semipasty,AR,35.752108,-92.908908
147,schoolish,ME,45.662978,-68.055975
148,remicle,MT,47.313333,-109.762502
149,zymogenous,SD,43.986953,-100.933939
150,Cephaleuros,LA,29.671169,-92.643289
151,krone,RI,42.23523,-70.950071
152,besetter,IL,40.039841,-89.169822
153,adject,OR,43.923863,-121.494144
154,unifocal,IL,40.039841,-89.169822
155,Samsam,ID,43.22038,-115.126167
156,winterly,N/A,43.469355,-106.719711
157,unthriven,MT,47.313333,-109.762502
158,transparent,N/A,35.417152,-96.413291
159,topiarius,OK,35.417152,-96.413291
160,toss,PA,41.816814,-77.758577
161,hookless,TX,31.850459,-100.575033
162,astroblast,WY,43.469355,-106.719711
163,pabular,N/A,41.385011,-71.761118
164,cobless,TX,31.850459,-100.575033
165,micropipette,RI,42.23523,-70.950071
166,mentoanterior,TN,36.489038,-87.150089
167,encrinitical,N/A,43.469355,-106.719711
168,uncivilly,RI,42.23523,-70.950071
169,inyoite,NV,39.676664,-116.57882
170,bowlegged,IA,41.85447,-94.461398
171,hypoleptically,ME,45.662978,-68.055975
172,feminal,OH,40.274536,-83.800318
173,Sybaritically,AZ,33.311094,-111.410962
174,transferableness,PA,41.816814,-77.758577
175,counterbeating,OH,40.274536,-83.800318
176,Thecata,N/A,40.198988,-85.969526
177,semicircumferentor,MA,42.687335,-70.592981
178,stubbly,WA,48.190208,-120.139024
179,unfeued,OR,43.923863,-121.494144
180,stringently,OK,35.417152,-96.413291
181,dermatrophy,N/A,47.470136,-99.485854
182,urethrostomy,N/A,39.676664,-116.57882
183,nonadhesive,VT,43.425296,-73.085636
184,nonnaturalistic,WA,48.190208,-120.139024
